,Unnamed: 0,p1.x,p1.y,p1.percentage,p1.falls,p1.SDs,p2.x,p2.y,p2.percentage,p2.falls,p2.SDs,match.frame_count,buttons_a,buttons_b,buttons_x,buttons_z,stick_main.x,stick_main.y,stick_c.x,stick_c.y,analog_r
146,147.0,-58.54080200195313,21.16009521484375,63.0,0.0,0.0,-51.11150360107422,26.80998229980469,0.0,11.0,8.0,5499.0,1.0,1.0,1.0,0.0,0.9422298913010412,0.8194938124758221,1.0,0.0,0.0
420,421.0,17.853717803955078,9.999999747378753e-05,75.0,0.0,0.0,-0.24054881930351255,9.999999747378753e-05,0.0,11.0,8.0,5773.0,1.0,0.0,1.0,0.0,0.3116941175373387,0.263005678628974,0.4055598030073496,0.037057800280775294,0.0
469,470.0,7.767758369445801,9.999999747378753e-05,85.0,0.0,0.0,0.5103489756584167,9.999999747378753e-05,0.0,11.0,8.0,5822.0,1.0,0.0,1.0,0.0,0.6088650553539483,0.12242290090956988,0.4190947127229647,1.0,0.0
517,518.0,2.625680923461914,9.999999747378753e-05,92.0,0.0,0.0,-8.036175727844237,9.999999747378753e-05,0.0,11.0,8.0,5870.0,1.0,0.0,1.0,0.0,0.2341910589816896,0.0,0.10640061672366016,0.34694867603130997,0.0
790,791.0,7.068026065826416,9.999999747378753e-05,99.0,0.0,0.0,-10.817403793334961,9.999999747378753e-05,15.0,11.0,8.0,6143.0,0.0,0.0,0.0,0.0,0.19686660536736025,0.20528693190352187,0.0,0.0,0.0
198,199.0,-17.430486679077152,8.870098114013672,115.0,0.0,0.0,0.5436909198760986,9.999999747378753e-05,0.0,13.0,10.0,6770.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5327647702799874,0.0,0.0
24,25.0,-112.813232421875,-111.18994140625,0.0,0.0,1.0,-103.02291107177734,-111.57128143310548,0.0,16.0,12.0,7993.0,0.0,0.0,0.0,0.0,0.9505997208253442,1.0,0.08478346840724871,0.0,0.0
695,696.0,-1.9244786500930784,9.999999747378753e-05,16.0,0.0,1.0,-8.88869571685791,9.999999747378753e-05,11.0,16.0,12.0,8665.0,0.0,0.0,1.0,0.0,0.5333205314157575,0.0,0.4497787572552648,0.6764428754520851,0.0
831,832.0,-2.8438024520874023,0.00010000006295740604,28.0,0.0,1.0,-19.8917236328125,0.4944816827774048,23.0,16.0,12.0,8801.0,1.0,1.0,1.0,0.0,1.0,0.4409628675185832,0.5373835055346532,0.075533045454099,0.0
1069,1070.0,-54.03215789794922,27.25516700744629,48.0,0.0,1.0,-57.63176345825195,27.20009994506836,37.0,16.0,12.0,9039.0,1.0,0.0,0.0,0.0,0.3770050520371028,0.0,0.0,0.0,0.0
190,191.0,29.62849998474121,9.999999747378753e-05,60.0,0.0,1.0,21.985107421875,9.999999747378753e-05,0.0,18.0,14.0,9739.0,1.0,0.0,1.0,0.0,0.7893441370780281,0.040964531352565066,0.0,0.0671245342278197,0.0
352,353.0,-20.76529693603516,9.999999747378753e-05,2.0,0.0,0.0,0.5232322812080383,9.999999747378753e-05,39.0,0.0,0.0,354.0,1.0,1.0,0.0,0.0,1.0,1.0,0.4790971433912888,0.1373992921348396,0.0
721,722.0,1.262290596961975,54.40010070800781,72.0,0.0,1.0,-7.136584281921388,54.40010070800781,34.0,19.0,15.0,10634.0,0.0,0.0,0.0,0.0,0.37808471525488974,1.0,0.2834658728315034,0.0,0.0
590,591.0,60.723670959472656,9.999999747378753e-05,79.0,0.0,1.0,50.01674270629883,9.999999747378753e-05,15.0,20.0,15.0,11450.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.33897064152250295,0.0
735,736.0,51.96339416503906,9.999999747378753e-05,88.0,0.0,1.0,43.88396453857422,9.999999747378753e-05,15.0,20.0,15.0,11595.0,1.0,1.0,1.0,0.0,0.9601045210391628,0.13795109066056438,0.8702947666754959,0.544031460073717,0.0
210,211.0,-3.183623075485229,54.40010070800781,107.0,0.0,1.0,4.558926582336426,54.40010070800781,0.0,22.0,17.0,12442.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8476723469372892,0.28055165613341265,0.0
296,297.0,-139.75753784179688,132.95059204101562,108.0,0.0,1.0,-25.6831111907959,90.85008239746094,0.0,22.0,17.0,12528.0,1.0,1.0,1.0,0.0,0.02335569882079592,0.011145193537211995,0.3127241751184945,0.0,0.0
383,384.0,-49.60362243652344,9.999999747378753e-05,113.0,0.0,1.0,-49.60362243652344,9.999999747378753e-05,17.0,23.0,17.0,13665.0,1.0,1.0,0.0,0.0,0.6921655968104546,1.0,0.8017431784721569,0.11852269198666444,0.0
401,402.0,-46.30957794189453,3.051123857498169,124.0,0.0,1.0,-60.31137084960938,2.545743227005005,17.0,23.0,17.0,13683.0,1.0,0.0,1.0,0.0,0.7052784036872208,0.8740945379447239,0.0,0.2899189572006572,0.0
339,340.0,43.24211883544922,16.850099563598633,137.0,0.0,1.0,49.865623474121094,9.999999747378753e-05,0.0,24.0,18.0,14122.0,0.0,0.0,1.0,0.0,0.0006759651384776521,0.6284218122711251,0.0,1.0,0.0
428,429.0,-87.19085693359375,194.01095581054688,138.0,0.0,1.0,57.82137680053711,9.999999747378753e-05,0.0,24.0,18.0,14211.0,0.0,0.0,0.0,0.0,0.19454961150643166,1.0,0.0,1.0,0.0
27,28.0,-112.43966674804688,-111.18994140625,0.0,-0.00011641443538998836,2.0,-100.61222076416016,-110.65351104736328,0.0,25.0,18.0,14635.0,0.0,1.0,1.0,0.0,1.0,0.4280540767292811,0.5226549346415132,1.0,0.0
517,518.0,-33.69617462158203,27.20009994506836,6.0,-0.00011641443538998836,2.0,-47.63101196289063,27.20009994506836,19.0,25.0,18.0,15125.0,1.0,1.0,1.0,0.0,0.6373516099494736,0.1537849548034849,0.0,0.3637477294817344,0.0
856,857.0,-59.52020645141602,-110.5298309326172,0.0,0.0,3.0,-128.21099853515622,-103.49576568603516,35.0,25.0,18.0,15465.0,0.0,0.0,1.0,0.0,0.2777563015957171,0.999756084941019,0.5869341885825685,0.4064116469867716,0.0
174,175.0,-56.63970565795898,34.72007369995117,12.0,0.0,3.0,-39.96799087524414,27.20009994506836,0.0,27.0,19.0,15837.0,1.0,0.0,1.0,0.0,0.0,0.254757336339535,0.09081665849486288,0.4363432907093069,0.0
248,249.0,-46.52474594116211,27.20009994506836,21.0,0.0,3.0,-39.0679931640625,27.20009994506836,0.0,27.0,19.0,15911.0,1.0,0.0,0.0,0.0,0.7267097820793489,0.0,0.8350147738055897,0.8884358972971091,0.0
302,303.0,-40.22689056396485,27.20009994506836,23.0,0.0,3.0,-29.92370796203613,27.20009994506836,9.0,27.0,19.0,15965.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5665394983298973,0.0
459,460.0,-27.822307586669922,27.20009994506836,30.0,0.0,3.0,-20.912845611572266,27.20009994506836,29.0,27.0,19.0,16122.0,1.0,1.0,0.0,0.0,0.0,0.4574125294029894,0.0,0.4933166739423514,0.0
509,510.0,-28.72230529785156,27.20009994506836,47.0,0.0,3.0,-25.07916831970215,27.20009994506836,29.0,27.0,19.0,16172.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
687,688.0,-56.7790412902832,27.20009994506836,66.0,0.0,3.0,-51.70117950439453,27.20009994506836,35.0,27.0,19.0,16350.0,1.0,0.0,0.0,0.0,1.0,0.5815956694058947,0.6780973586429099,0.8720598200370627,0.0
267,268.0,40.18073654174805,27.20009994506836,73.0,0.0,3.0,52.93278121948242,27.20009994506836,0.0,28.0,20.0,16950.0,1.0,0.0,1.0,0.0,0.26159922678341496,0.33987289626754635,1.0,0.0,0.0
458,459.0,31.01516342163086,48.3600959777832,81.0,0.0,3.0,32.0389404296875,55.36200332641602,10.0,28.0,20.0,17141.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3086168746358993,0.0
19,20.0,-112.83026123046876,-111.18994140625,0.0,0.0,4.0,-120.74686431884766,-109.92061614990234,0.0,29.0,20.0,17720.0,0.0,0.0,1.0,0.0,1.0,0.3639048668317379,0.9374918596972192,0.02301242020664369,0.0
428,429.0,5.398964881896973,9.999999747378753e-05,26.0,0.0,4.0,7.4736900329589835,9.999999747378753e-05,23.0,29.0,20.0,18129.0,0.0,1.0,1.0,0.0,0.11234037180733647,0.2727184675851344,0.0,0.0,0.0
623,624.0,-11.895835876464846,9.999999747378753e-05,28.0,0.0,4.0,6.109509468078612,9.999999747378753e-05,30.0,29.0,20.0,18324.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7571944072020744,1.0,0.0
164,165.0,-49.41781234741211,38.35007858276367,35.0,-0.00011135857461024499,4.0,-45.14254760742188,56.3699951171875,0.0,31.0,21.0,19278.0,0.0,0.0,1.0,0.0,0.43393870415408015,0.3226724979312166,0.3840677833014188,0.0,0.0
311,312.0,-56.747535705566406,-111.56428527832031,0.0,0.0,4.0,-36.05212783813477,74.75531005859375,0.0,31.0,21.0,19426.0,1.0,0.0,1.0,0.0,0.30750170093879625,0.7868333396000493,1.0,0.9770567593225168,0.0
336,337.0,-47.39787292480469,26.74997711181641,13.0,0.0,4.0,-50.90283966064453,27.20009994506836,0.0,36.0,25.0,22250.0,0.0,1.0,1.0,0.0,0.9018858961900909,0.7306909505247535,0.6321858494406911,0.5670248289626579,0.0
389,390.0,-33.959774017333984,27.20009994506836,20.0,0.0,4.0,-50.99026489257813,27.20009994506836,0.0,36.0,25.0,22303.0,0.0,0.0,1.0,0.0,0.0,0.2688461224569713,0.4639829639364906,1.0,0.0
598,599.0,-44.07160949707031,27.20009994506836,36.0,0.0,4.0,-46.52014923095703,52.29600524902344,9.0,36.0,25.0,22512.0,1.0,1.0,1.0,0.0,1.0,0.7625212696294208,0.0,1.0,0.0
1114,1115.0,61.27082824707031,9.999999747378753e-05,55.0,0.0,4.0,40.70442199707031,9.999999747378753e-05,32.0,36.0,25.0,23028.0,0.0,1.0,0.0,0.0,0.4551820892192681,0.0,0.0,0.97113418560652,0.0
